Store,Date,DayOfWeek,FirstHour,FirstHourSales,LastHour,LastHourSales
Tacos Gavilan Norwalk,2025-01-14,Martes,12:00 AM,375.73,11:00 PM,437.54
Tacos Gavilan Slauson,2025-01-14,Martes,12:00 AM,319.35,11:00 PM,583.96
Tacos Gavilan Hollywood,2025-01-14,Martes,9:00 AM,278.72,11:00 PM,369.78
Tacos Gavilan LA Broadway,2025-01-14,Martes,12:00 AM,619.57,11:00 PM,443.76
Tacos Gavilan West Covina,2025-01-15,Miércoles,12:00 AM,366.76,11:00 PM,570.04
Tacos Gavilan Santa Ana,2025-01-15,Miércoles,9:00 AM,4.95,11:00 PM,371.46
Tacos Gavilan La Puente,2025-01-15,Miércoles,9:00 AM,39.10,11:00 PM,333.05
Tacos Gavilan Azusa,2025-01-15,Miércoles,9:00 AM,21.96,11:00 PM,198.58
Tacos Gavilan Rialto,2025-01-15,Miércoles,9:00 AM,139.39,11:00 PM,554.98
Tacos Gavilan LA Central,2025-01-15,Miércoles,12:00 AM,406.39,11:00 PM,985.22
Tacos Gavilan South Gate,2025-01-15,Miércoles,12:00 AM,30.70,11:00 PM,459.42
Tacos Gavilan Bell,2025-01-15,Miércoles,10:00 AM,169.46,11:00 PM,198.74
Tacos Gavilan Downey,2025-01-15,Miércoles,9:00 AM,262.57,11:00 PM,264.11
Tacos Gavilan Huntington Park,2025-01-15,Miércoles,12:00 AM,37.15,11:00 PM,269.87
Tacos Gavilan Lynwood,2025-01-15,Miércoles,12:00 AM,486.56,11:00 PM,849.52
Tacos Gavilan Norwalk,2025-01-15,Miércoles,12:00 AM,494.57,11:00 PM,581.37
Tacos Gavilan Slauson,2025-01-15,Miércoles,12:00 AM,144.50,11:00 PM,538.27
Tacos Gavilan Hollywood,2025-01-15,Miércoles,9:00 AM,327.94,11:00 PM,531.44
Tacos Gavilan LA Broadway,2025-01-15,Miércoles,12:00 AM,340.38,11:00 PM,505.33
Tacos Gavilan West Covina,2025-01-16,Jueves,12:00 AM,388.44,11:00 PM,361.66
Tacos Gavilan Santa Ana,2025-01-16,Jueves,10:00 AM,355.06,11:00 PM,196.18
Tacos Gavilan La Puente,2025-01-16,Jueves,9:00 AM,46.51,11:00 PM,345.60
Tacos Gavilan Azusa,2025-01-16,Jueves,10:00 AM,246.05,11:00 PM,146.00
Tacos Gavilan Rialto,2025-01-16,Jueves,12:00 AM,155.63,11:00 PM,316.69
Tacos Gavilan LA Central,2025-01-16,Jueves,12:00 AM,559.59,11:00 PM,914.30
Tacos Gavilan South Gate,2025-01-16,Jueves,9:00 AM,148.79,11:00 PM,208.86
Tacos Gavilan Bell,2025-01-16,Jueves,10:00 AM,137.76,11:00 PM,189.32
Tacos Gavilan Downey,2025-01-16,Jueves,12:00 AM,227.74,11:00 PM,384.59
Tacos Gavilan Huntington Park,2025-01-16,Jueves,12:00 AM,213.18,11:00 PM,181.64
Tacos Gavilan Lynwood,2025-01-16,Jueves,12:00 AM,691.03,11:00 PM,891.99
Tacos Gavilan Norwalk,2025-01-16,Jueves,12:00 AM,483.38,11:00 PM,784.03
Tacos Gavilan Slauson,2025-01-16,Jueves,12:00 AM,360.38,11:00 PM,599.24
Tacos Gavilan Hollywood,2025-01-16,Jueves,9:00 AM,291.44,11:00 PM,474.77
Tacos Gavilan LA Broadway,2025-01-16,Jueves,12:00 AM,476.49,11:00 PM,590.78
Tacos Gavilan West Covina,2025-01-17,Viernes,12:00 AM,413.96,11:00 PM,833.75
Tacos Gavilan Santa Ana,2025-01-17,Viernes,12:00 AM,417.90,11:00 PM,460.11
Tacos Gavilan La Puente,2025-01-17,Viernes,12:00 AM,592.44,11:00 PM,556.57
Tacos Gavilan Azusa,2025-01-17,Viernes,12:00 AM,197.08,11:00 PM,373.38
Tacos Gavilan Rialto,2025-01-17,Viernes,12:00 AM,502.82,11:00 PM,708.69
Tacos Gavilan LA Central,2025-01-17,Viernes,12:00 AM,1275.85,11:00 PM,1748.69
Tacos Gavilan South Gate,2025-01-17,Viernes,12:00 AM,514.63,11:00 PM,753.35
Tacos Gavilan Bell,2025-01-17,Viernes,12:00 AM,194.94,11:00 PM,304.67
Tacos Gavilan Downey,2025-01-17,Viernes,12:00 AM,475.80,11:00 PM,499.04
Tacos Gavilan Huntington Park,2025-01-17,Viernes,12:00 AM,418.53,11:00 PM,523.42
Tacos Gavilan Lynwood,2025-01-17,Viernes,12:00 AM,909.56,11:00 PM,1081.79
Tacos Gavilan Norwalk,2025-01-17,Viernes,12:00 AM,877.89,11:00 PM,977.12
Tacos Gavilan Slauson,2025-01-17,Viernes,12:00 AM,616.35,11:00 PM,789.50
Tacos Gavilan Hollywood,2025-01-17,Viernes,12:00 AM,733.39,11:00 PM,753.36
Tacos Gavilan LA Broadway,2025-01-17,Viernes,12:00 AM,439.47,11:00 PM,726.85
Tacos Gavilan West Covina,2025-01-18,Sábado,12:00 AM,844.73,11:00 PM,927.37
Tacos Gavilan Santa Ana,2025-01-18,Sábado,12:00 AM,422.44,11:00 PM,773.64
Tacos Gavilan La Puente,2025-01-18,Sábado,12:00 AM,439.57,11:00 PM,501.03
Tacos Gavilan Azusa,2025-01-18,Sábado,12:00 AM,160.92,11:00 PM,349.96
Tacos Gavilan Rialto,2025-01-18,Sábado,12:00 AM,502.56,11:00 PM,753.99
Tacos Gavilan LA Central,2025-01-18,Sábado,12:00 AM,1140.34,11:00 PM,1586.37
Tacos Gavilan South Gate,2025-01-18,Sábado,12:00 AM,735.47,11:00 PM,1014.55
Tacos Gavilan Bell,2025-01-18,Sábado,12:00 AM,249.96,11:00 PM,292.00
Tacos Gavilan Downey,2025-01-18,Sábado,12:00 AM,624.03,11:00 PM,647.43
Tacos Gavilan Huntington Park,2025-01-18,Sábado,12:00 AM,531.50,11:00 PM,454.06
Tacos Gavilan Lynwood,2025-01-18,Sábado,12:00 AM,1117.57,11:00 PM,1036.72
Tacos Gavilan Norwalk,2025-01-18,Sábado,12:00 AM,589.01,11:00 PM,1163.97
Tacos Gavilan Slauson,2025-01-18,Sábado,12:00 AM,778.53,11:00 PM,534.55
Tacos Gavilan Hollywood,2025-01-18,Sábado,12:00 AM,605.33,11:00 PM,455.51
Tacos Gavilan LA Broadway,2025-01-18,Sábado,12:00 AM,811.75,11:00 PM,847.72
Tacos Gavilan West Covina,2025-01-19,Domingo,12:00 AM,361.37,11:00 PM,533.28
Tacos Gavilan Santa Ana,2025-01-19,Domingo,10:00 AM,326.07,11:00 PM,302.52
Tacos Gavilan La Puente,2025-01-19,Domingo,9:00 AM,34.94,11:00 PM,255.24
Tacos Gavilan Azusa,2025-01-19,Domingo,10:00 AM,128.82,11:00 PM,91.44
Tacos Gavilan Rialto,2025-01-19,Domingo,12:00 AM,486.41,11:00 PM,592.85
Tacos Gavilan LA Central,2025-01-19,Domingo,12:00 AM,510.13,11:00 PM,843.72
Tacos Gavilan South Gate,2025-01-19,Domingo,9:00 AM,11.51,11:00 PM,222.84
Tacos Gavilan Bell,2025-01-19,Domingo,9:00 AM,4.58,11:00 PM,177.34
Tacos Gavilan Downey,2025-01-19,Domingo,9:00 AM,203.86,11:00 PM,1146.95
Tacos Gavilan Huntington Park,2025-01-19,Domingo,9:00 AM,79.21,11:00 PM,210.76
Tacos Gavilan Lynwood,2025-01-19,Domingo,12:00 AM,1032.53,11:00 PM,823.58
Tacos Gavilan Norwalk,2025-01-19,Domingo,12:00 AM,372.33,11:00 PM,869.84
Tacos Gavilan Slauson,2025-01-19,Domingo,12:00 AM,419.97,11:00 PM,504.76
Tacos Gavilan Hollywood,2025-01-19,Domingo,9:00 AM,80.31,11:00 PM,581.47
Tacos Gavilan LA Broadway,2025-01-19,Domingo,12:00 AM,601.32,11:00 PM,548.96
Tacos Gavilan West Covina,2025-01-20,Lunes,12:00 AM,134.03,11:00 PM,634.52
Tacos Gavilan Santa Ana,2025-01-20,Lunes,10:00 AM,484.39,11:00 PM,325.75
Tacos Gavilan La Puente,2025-01-20,Lunes,9:00 AM,57.54,11:00 PM,74.86
Tacos Gavilan Azusa,2025-01-20,Lunes,10:00 AM,198.26,11:00 PM,99.30
Tacos Gavilan Rialto,2025-01-20,Lunes,9:00 AM,111.82,11:00 PM,327.43
Tacos Gavilan LA Central,2025-01-20,Lunes,12:00 AM,343.74,11:00 PM,366.36
Tacos Gavilan South Gate,2025-01-20,Lunes,9:00 AM,126.67,11:00 PM,338.76
Tacos Gavilan Bell,2025-01-20,Lunes,9:00 AM,24.56,11:00 PM,180.53
